@ 86400 IN SOA dns hostmaster 2015042302 7200 3600 7200 600
@ 86400 IN MX 10 mailin1
86400 IN MX 10 mailin2
kug250-042 86400 IN A 192.168.250.42
p-pm15-118a 86400 IN A 192.168.248.109
uu-rk-wlan-100-142 86400 IN A 193.170.100.142
uu-rk-wlan-100-143 86400 IN A 193.170.100.143
uu191-227 86400 IN A 193.170.191.227
ap05-br19 86400 IN A 192.168.248.85
ap05-br21 86400 IN A 192.168.248.134
ngwnameserver 600 IN CNAME s-gw1
sw-pt116-012b 86400 IN A 193.170.190.17
uu1-rk152 86400 IN A 193.170.131.152
kugpb068 86400 IN A 193.170.128.68
p-pm15-123a 86400 IN A 192.168.248.110
kug250-049 86400 IN A 192.168.250.49
comsys-dev 86400 IN A 193.170.190.39
uu-rk-wlan-100-148 86400 IN A 193.170.100.148
w-lg21-111c 86400 IN A 193.170.130.222
uu247-002 86400 IN A 192.168.247.2
uu247-003 86400 IN A 192.168.247.3
uu247-004 86400 IN A 192.168.247.4
uu-rk-wlan-100-149 86400 IN A 193.170.100.149
uu247-007 86400 IN A 192.168.247.7
rp-ls82-0f0a 86400 IN A 192.168.184.12
t-br21-foyb 86400 IN A 193.170.100.51
w-ls19-007a 86400 IN A 192.168.170.11
s-ipa1 86400 IN A 193.170.129.233
blog 86400 IN CNAME s-el2
uu-rk-wlan-100-153 86400 IN A 193.170.100.153
jazz 86400 IN CNAME s-www1
uu-rk-wlan-100-154 86400 IN A 193.170.100.154
sw1-pm-sz-alt 86400 IN A 193.170.190.41
imap 86400 IN CNAME mail
ap07-mm 86400 IN A 192.168.248.17
mfpksm 86400 IN CNAME s-www4
wcs-v4-2 86400 IN A 193.170.100.126
kug250-059 86400 IN A 192.168.250.59
kug131-079 86400 IN A 193.170.131.79
s-k10-dongle 86400 IN A 193.170.191.221
s-mailout1b 600 IN CNAME mailout1b
uu-rk-wlan-100-160 86400 IN A 193.170.100.160
uu191-243 86400 IN A 193.170.191.243
st-s2-cs0 86400 IN A 192.168.107.229
s-mailout2a 600 IN CNAME mailout2a
s-mailout2b 600 IN CNAME mailout2b
comsys-doc 86400 IN A 193.170.190.5
ap15-mm 86400 IN A 192.168.248.25
kugpb109 86400 IN A 193.170.128.109
w-pm15-105a 86400 IN A 193.170.130.30
w-pm15-105b 86400 IN A 193.170.130.175
w-pm15-105c 86400 IN A 193.170.130.234
ap-ls19-002a 86400 IN A 192.168.248.46
w-pm15-106a 86400 IN A 193.170.130.192
kugpb100 86400 IN A 193.170.128.100
firewall 86400 IN CNAME asafirewall
wm102 86400 IN A 193.170.129.76
ap-ls19-003a 86400 IN A 192.168.248.47
uu-rk-wlan-100-170 86400 IN A 193.170.100.170
w-pm15-107b 86400 IN A 193.170.130.188
ace-1 86400 IN A 193.170.190.10
ace-2 86400 IN A 193.170.190.11
ap15-rk 86400 IN A 192.168.248.65
kugpb093 86400 IN A 193.170.128.93
uu131-163 86400 IN A 193.170.131.163
kugpb104 86400 IN A 193.170.128.104
sw-bu03-104a 86400 IN A 193.170.190.119
uu-rk-wlan-100-174 86400 IN A 193.170.100.174
t-os08-foya 86400 IN A 193.170.131.237
w-pm15-111a 86400 IN A 193.170.130.223
w-pm15-111b 86400 IN A 193.170.130.34
w-pm15-111d 86400 IN A 193.170.130.220
w-pm15-111e 86400 IN A 193.170.130.172
w-pm15-112a 86400 IN A 193.170.130.221
ap-ig10-03019a 86400 IN A 192.168.248.152
s-rtn-db1 86400 IN A 193.170.53.38
w-pm15-113a 86400 IN A 193.170.130.151
kug250-079 86400 IN A 192.168.250.79
uu131-004 86400 IN A 193.170.131.4
s-zw5 86400 IN A 193.170.129.205
uu-rk-wlan-100-179 86400 IN A 193.170.100.179
kompositionspaedagogik 86400 IN CNAME s-www1
kugpb112 86400 IN A 193.170.128.112
uu-rk-wlan-100-181 86400 IN A 193.170.100.181
w-pm15-115a 86400 IN A 193.170.130.194
bib2-iem 86400 IN A 193.170.191.161
uu-rk-wlan-100-183 86400 IN A 193.170.100.183
w-pm15-117a 86400 IN A 193.170.130.75
kugwlan101-010 86400 IN A 193.170.101.10
kugwlan101-011 86400 IN A 193.170.101.11
kugwlan101-012 86400 IN A 193.170.101.12
kugwlan101-013 86400 IN A 193.170.101.13
kugwlan101-014 86400 IN A 193.170.101.14
kugwlan101-015 86400 IN A 193.170.101.15
kugwlan101-016 86400 IN A 193.170.101.16
kugwlan101-017 86400 IN A 193.170.101.17
kugwlan101-018 86400 IN A 193.170.101.18
kugwlan101-020 86400 IN A 193.170.101.20
kugwlan101-021 86400 IN A 193.170.101.21
kugwlan101-022 86400 IN A 193.170.101.22
kugwlan101-023 86400 IN A 193.170.101.23
kugwlan101-024 86400 IN A 193.170.101.24
kugwlan101-025 86400 IN A 193.170.101.25
kugwlan101-026 86400 IN A 193.170.101.26
kug250-090 86400 IN A 192.168.250.90
kugwlan101-028 86400 IN A 193.170.101.28
kugwlan101-030 86400 IN A 193.170.101.30
kugwlan101-031 86400 IN A 193.170.101.31
kugwlan101-032 86400 IN A 193.170.101.32
kugwlan101-033 86400 IN A 193.170.101.33
kugwlan101-034 86400 IN A 193.170.101.34
kugwlan101-035 86400 IN A 193.170.101.35
kugwlan101-036 86400 IN A 193.170.101.36
kugwlan101-037 86400 IN A 193.170.101.37
kugwlan101-038 86400 IN A 193.170.101.38
kugwlan101-039 86400 IN A 193.170.101.39
kugwlan101-041 86400 IN A 193.170.101.41
kugwlan101-042 86400 IN A 193.170.101.42
kugwlan101-043 86400 IN A 193.170.101.43
kugwlan101-044 86400 IN A 193.170.101.44
kugwlan101-045 86400 IN A 193.170.101.45
kugwlan101-046 86400 IN A 193.170.101.46
orgel-kirchenmusik 86400 IN CNAME s-www1
kugwlan101-048 86400 IN A 193.170.101.48
kugwlan101-049 86400 IN A 193.170.101.49
kugwlan101-051 86400 IN A 193.170.101.51
kugwlan101-052 86400 IN A 193.170.101.52
kugwlan101-053 86400 IN A 193.170.101.53
kugwlan101-054 86400 IN A 193.170.101.54
kugwlan101-055 86400 IN A 193.170.101.55
kugwlan101-056 86400 IN A 193.170.101.56
kugwlan101-057 86400 IN A 193.170.101.57
ap03-mg 86400 IN A 192.168.248.148
kugwlan101-059 86400 IN A 193.170.101.59
kugpb125 86400 IN A 193.170.128.125
kugwlan101-062 86400 IN A 193.170.101.62
kugwlan101-063 86400 IN A 193.170.101.63
kugwlan101-064 86400 IN A 193.170.101.64
ap03-mm 86400 IN A 192.168.248.13
kugwlan101-066 86400 IN A 193.170.101.66
kugwlan101-067 86400 IN A 193.170.101.67
kugwlan101-068 86400 IN A 193.170.101.68
kugwlan101-069 86400 IN A 193.170.101.69
kugwlan101-071 86400 IN A 193.170.101.71
kugwlan101-072 86400 IN A 193.170.101.72
kugwlan101-073 86400 IN A 193.170.101.73
kugwlan101-074 86400 IN A 193.170.101.74
kugwlan101-075 86400 IN A 193.170.101.75
kugwlan101-076 86400 IN A 193.170.101.76
kugwlan101-077 86400 IN A 193.170.101.77
kugwlan101-078 86400 IN A 193.170.101.78
kugwlan101-079 86400 IN A 193.170.101.79
kugwlan101-081 86400 IN A 193.170.101.81
kugwlan101-082 86400 IN A 193.170.101.82
kugwlan101-083 86400 IN A 193.170.101.83
kugwlan101-084 86400 IN A 193.170.101.84
kugwlan101-085 86400 IN A 193.170.101.85
kugwlan101-086 86400 IN A 193.170.101.86
kug250-099 86400 IN A 192.168.250.99
kugwlan101-088 86400 IN A 193.170.101.88
kugwlan101-100 86400 IN A 193.170.101.100
kugwlan101-101 86400 IN A 193.170.101.101
kugwlan101-092 86400 IN A 193.170.101.92
kugwlan101-103 86400 IN A 193.170.101.103
kugwlan101-104 86400 IN A 193.170.101.104
kugwlan101-095 86400 IN A 193.170.101.95
kugwlan101-106 86400 IN A 193.170.101.106
kugwlan101-107 86400 IN A 193.170.101.107
kugwlan101-108 86400 IN A 193.170.101.108
kugwlan101-109 86400 IN A 193.170.101.109
s-dhcp-v6-11 86400 IN AAAA 2001:628:20d0:11::68
p-bg17-056a 86400 IN A 192.168.247.21
uu-rk-wlan-100-212 86400 IN A 193.170.100.212
ap03-rk 86400 IN A 192.168.248.53
s-ise1 86400 IN A 192.168.107.137
s-ise2 86400 IN A 192.168.107.138
ap07-rk 86400 IN A 192.168.248.57
tabgalarmbox 86400 IN A 193.170.128.198
u-ls82-122a 86400 IN A 192.168.11.73
usv1-pm-100b 86400 IN A 192.168.248.92
vl-ls82-004a 86400 IN A 192.168.247.114
inf132 86400 IN A 193.170.191.132
inf133 86400 IN A 193.170.191.133
m-ls82-004a 86400 IN A 192.168.247.113
inf135 86400 IN A 193.170.191.135
inf136 86400 IN A 193.170.191.136
inf137 86400 IN A 193.170.191.137
inf138 86400 IN A 193.170.191.138
inf139 86400 IN A 193.170.191.139
inf141 86400 IN A 193.170.191.141
inf142 86400 IN A 193.170.191.142
inf143 86400 IN A 193.170.191.143
inf144 86400 IN A 193.170.191.144
inf145 86400 IN A 193.170.191.145
inf146 86400 IN A 193.170.191.146
inf147 86400 IN A 193.170.191.147
inf148 86400 IN A 193.170.191.148
inf149 86400 IN A 193.170.191.149
inf151 86400 IN A 193.170.191.151
inf152 86400 IN A 193.170.191.152
inf153 86400 IN A 193.170.191.153
inf154 86400 IN A 193.170.191.154
inf155 86400 IN A 193.170.191.155
inf156 86400 IN A 193.170.191.156
inf157 86400 IN A 193.170.191.157
inf158 86400 IN A 193.170.191.158
inf159 86400 IN A 193.170.191.159
w-ls82-port 86400 IN A 193.170.128.122
inf164 86400 IN A 193.170.191.164
inf165 86400 IN A 193.170.191.165
inf166 86400 IN A 193.170.191.166
inf167 86400 IN A 193.170.191.167
inf168 86400 IN A 193.170.191.168
inf170 86400 IN A 193.170.191.170
inf171 86400 IN A 193.170.191.171
inf172 86400 IN A 193.170.191.172
inf173 86400 IN A 193.170.191.173
inf174 86400 IN A 193.170.191.174
inf175 86400 IN A 193.170.191.175
inf176 86400 IN A 193.170.191.176
inf177 86400 IN A 193.170.191.177
inf178 86400 IN A 193.170.191.178
inf179 86400 IN A 193.170.191.179
inf181 86400 IN A 193.170.191.181
inf182 86400 IN A 193.170.191.182
inf183 86400 IN A 193.170.191.183
inf184 86400 IN A 193.170.191.184
inf185 86400 IN A 193.170.191.185
inf186 86400 IN A 193.170.191.186
inf187 86400 IN A 193.170.191.187
inf188 86400 IN A 193.170.191.188
inf190 86400 IN A 193.170.191.190
S-vco1 86400 IN A 192.168.107.124
kug250-129 86400 IN A 192.168.250.129
db-m 86400 IN A 193.170.190.69
uu-rk-wlan-100-230 86400 IN A 193.170.100.230
usv1-pm-110a 86400 IN A 192.168.248.93
ganglia 86400 IN CNAME s-ma1
s-rld1-po-s1 86400 IN A 193.170.53.67
kug250-135 86400 IN A 192.168.250.135
sw2-br21-zid 86400 IN A 193.170.190.48
s-rld1-po-u1 86400 IN A 193.170.53.66
uu-rk-wlan-100-237 86400 IN A 193.170.100.237
p-lg21-204a 86400 IN A 192.168.247.82
hochhold 86400 IN CNAME w-br18-003b
uu-rk-wlan-100-238 86400 IN A 193.170.100.238
darling 86400 IN A 193.170.131.184
s-s2-esx1-ilo 86400 IN A 192.168.107.234
u-ls82-140a 86400 IN A 192.168.11.74
irdb 86400 IN CNAME s-www1
p-lg21-207a 86400 IN A 192.168.247.56
w-bg03-113a 86400 IN A 193.170.128.209
p-br21-010a 86400 IN A 193.170.190.221
s-vdp2 86400 IN A 192.168.107.144
s-vdp3 86400 IN A 192.168.107.145
s-vdp4 86400 IN A 192.168.107.146
persprint 86400 IN CNAME pm114a
s-vdp6 86400 IN A 192.168.107.119
p-br21-011a 86400 IN A 193.170.190.222
uu-rk-wlan-100-246 86400 IN A 193.170.100.246
s-zw3 86400 IN A 193.170.129.223
kugpb124 86400 IN A 193.170.128.124
kug250-150 86400 IN A 192.168.250.150
uu-rk-wlan-100-250 86400 IN A 193.170.100.250
phaidra 86400 IN A 131.130.4.20
kug250-153 86400 IN A 192.168.250.153
tawmcpu 86400 IN A 193.170.129.58
u-ls15-100ca 86400 IN A 192.168.11.47
uu-rk-wlan-100-200 86400 IN A 193.170.100.200
pm204b 86400 IN A 193.170.130.166
pm204c 86400 IN A 193.170.130.167
p-pm15-200a 86400 IN A 192.168.248.111
sw2-br21-sz 86400 IN A 193.170.190.21
w-ls82-919a 86400 IN A 193.170.128.66
kug250-159 86400 IN A 192.168.250.159
sw-ls15-110ba 86400 IN A 193.170.190.102
sw-ls15-110bb 86400 IN A 193.170.190.103
sw-ls15-110bc 86400 IN A 193.170.190.95
p-br21-019a 86400 IN A 193.170.130.11
uu-rk140 86400 IN A 193.170.131.140
p-br21-021a 86400 IN A 193.170.131.66
kug250-163 86400 IN A 192.168.250.163
p-pm15-203a 86400 IN A 192.168.248.112
pm208a 86400 IN A 193.170.130.133
ap-hp08-1f0a 86400 IN A 192.168.248.167
p-ls19-116a 86400 IN A 192.168.247.92
kug250-167 86400 IN A 192.168.250.167
kug250-169 86400 IN A 192.168.250.169
ap10-mm 86400 IN A 192.168.248.20
ldap-internal 86400 IN CNAME s-ldapint1
p-pm15-208a 86400 IN A 192.168.248.113
kug130-110 86400 IN A 193.170.130.110
p-pm15-210a 86400 IN A 193.170.130.245
ap05-mm 86400 IN A 192.168.248.15
p-pm15-212a 86400 IN A 192.168.248.114
p-br18-gana 86400 IN A 193.170.130.10
w-bg21-035j 86400 IN A 192.168.191.20
kug250-179 86400 IN A 192.168.250.179
uu131-046 86400 IN A 193.170.131.46
w-test2 86400 IN A 193.170.129.242
sw-bg21-134a 86400 IN A 193.170.190.43
w-test4 86400 IN A 193.170.129.244
p-br21-035a 86400 IN A 193.170.100.61
ap28-rk 86400 IN A 192.168.248.78
p-os08-020a 86400 IN A 193.170.131.199
persinfo-dev 600 IN CNAME persinfo
comsys-man 86400 IN A 193.170.128.173
p-os08-021a 86400 IN A 193.170.131.244
s-mailin1 86400 IN CNAME mailin1
s-mailin2 86400 IN CNAME mailin2
p-pm15-219a 86400 IN A 192.168.248.115
w-pm15-205a 86400 IN A 193.170.130.127
sw-hp08-054a 86400 IN A 193.170.190.27
kug250-189 86400 IN A 192.168.250.189
kug250-201 86400 IN A 192.168.250.201
kug129-100 86400 IN A 193.170.129.100
w-br21-010a 86400 IN A 193.170.190.194
kug250-192 86400 IN A 192.168.250.192
p-os08-024b 86400 IN A 193.170.131.198
w-br21-010d 86400 IN A 193.170.190.202
kug250-203 86400 IN A 192.168.250.203
w-br21-011a 86400 IN A 193.170.190.196
w-br21-011b 86400 IN A 193.170.190.197
comsys-log 86400 IN A 193.170.190.51
bib1-iem 86400 IN A 193.170.191.160
kug250-194 86400 IN A 192.168.250.194
smt 86400 IN CNAME s-smt1
kugscholar 86400 IN A 131.130.4.55
kug250-195 86400 IN A 192.168.250.195
kug250-196 86400 IN A 192.168.250.196
p-os08-027a 86400 IN A 193.170.131.247
kug250-197 86400 IN A 192.168.250.197
kug130-002 86400 IN A 193.170.130.2
kug130-004 86400 IN A 193.170.130.4
kug130-005 86400 IN A 193.170.130.5
w-br21-014a 86400 IN A 193.170.191.96
kug130-007 86400 IN A 193.170.130.7
kug130-008 86400 IN A 193.170.130.8
p-br21-can 86400 IN A 192.168.247.5
kug130-013 86400 IN A 193.170.130.13
kug250-199 86400 IN A 192.168.250.199
p-os08-029a 86400 IN A 193.170.131.245
ap09-pm 86400 IN A 192.168.248.39
kug130-020 86400 IN A 193.170.130.20
kug130-021 86400 IN A 193.170.130.21
kug130-022 86400 IN A 193.170.130.22
kug130-026 86400 IN A 193.170.130.26
kug130-027 86400 IN A 193.170.130.27
kug130-028 86400 IN A 193.170.130.28
usv1-bg3-1og 86400 IN A 193.170.128.213
gw-v70-1 86400 IN A 193.170.101.1
kug130-035 86400 IN A 193.170.130.35
kug130-037 86400 IN A 193.170.130.37
kug130-040 86400 IN A 193.170.130.40
ap-ig10-01004a 86400 IN A 192.168.248.150
kug130-043 86400 IN A 193.170.130.43
w-pm15-200b 86400 IN A 193.170.130.76
kug130-046 86400 IN A 193.170.130.46
kug130-047 86400 IN A 193.170.130.47
kug130-048 86400 IN A 193.170.130.48
kug130-050 86400 IN A 193.170.130.50
kug130-051 86400 IN A 193.170.130.51
kug130-053 86400 IN A 193.170.130.53
kug130-054 86400 IN A 193.170.130.54
kug130-056 86400 IN A 193.170.130.56
kug130-057 86400 IN A 193.170.130.57
kug130-058 86400 IN A 193.170.130.58
kug130-060 86400 IN A 193.170.130.60
kug130-061 86400 IN A 193.170.130.61
kug130-063 86400 IN A 193.170.130.63
kug130-064 86400 IN A 193.170.130.64
kug130-065 86400 IN A 193.170.130.65
kug130-066 86400 IN A 193.170.130.66
kug130-067 86400 IN A 193.170.130.67
kug130-068 86400 IN A 193.170.130.68
kug130-070 86400 IN A 193.170.130.70
kug130-071 86400 IN A 193.170.130.71
kug130-072 86400 IN A 193.170.130.72
kug130-073 86400 IN A 193.170.130.73
kug130-074 86400 IN A 193.170.130.74
kug130-077 86400 IN A 193.170.130.77
kug130-078 86400 IN A 193.170.130.78
kug130-080 86400 IN A 193.170.130.80
kug130-081 86400 IN A 193.170.130.81
kug130-082 86400 IN A 193.170.130.82
kug130-083 86400 IN A 193.170.130.83
kug130-084 86400 IN A 193.170.130.84
kug130-085 86400 IN A 193.170.130.85
kug130-086 86400 IN A 193.170.130.86
kug130-087 86400 IN A 193.170.130.87
kug130-088 86400 IN A 193.170.130.88
kug130-089 86400 IN A 193.170.130.89
kug129-101 86400 IN A 193.170.129.101
kug130-102 86400 IN A 193.170.130.102
kug130-103 86400 IN A 193.170.130.103
kug130-104 86400 IN A 193.170.130.104
kug129-105 86400 IN A 193.170.129.105
kug129-104 86400 IN A 193.170.129.104
kug130-097 86400 IN A 193.170.130.97
kug130-108 86400 IN A 193.170.130.108
kug130-099 86400 IN A 193.170.130.99
ap-lg21-207a 86400 IN A 192.168.248.161
kug130-112 86400 IN A 193.170.130.112
kug130-113 86400 IN A 193.170.130.113
kug130-114 86400 IN A 193.170.130.114
repository 86400 IN CNAME s-repo1
kug130-117 86400 IN A 193.170.130.117
kug130-118 86400 IN A 193.170.130.118
kug130-120 86400 IN A 193.170.130.120
kug130-123 86400 IN A 193.170.130.123
s-co-wsl2 86400 IN A 193.170.53.42
t-pm-sz 86400 IN A 192.168.248.89
w-br21-026a 86400 IN A 193.170.130.116
ap16-rk 86400 IN A 192.168.248.66
kug130-128 86400 IN A 193.170.130.128
kug130-129 86400 IN A 193.170.128.129
kug130-131 86400 IN A 193.170.130.131
kug130-132 86400 IN A 193.170.130.132
w-pm15-208a 86400 IN A 193.170.130.12
kug130-134 86400 IN A 193.170.130.134
kug130-135 86400 IN A 193.170.130.135
kug130-136 86400 IN A 193.170.130.136
kug130-137 86400 IN A 193.170.130.137
kug130-140 86400 IN A 193.170.130.140
kug130-141 86400 IN A 193.170.130.141
hg-used2 86400 IN A 193.170.191.51
kug130-143 86400 IN A 193.170.130.143
kug130-144 86400 IN A 193.170.130.144
kug130-145 86400 IN A 193.170.130.145
kug130-146 86400 IN A 193.170.130.146
kug130-147 86400 IN A 193.170.130.147
kug130-150 86400 IN A 193.170.130.150
kug250-231 86400 IN A 192.168.250.231
kug130-153 86400 IN A 193.170.130.153
kug130-154 86400 IN A 193.170.130.154
kug130-156 86400 IN A 193.170.130.156
kug130-157 86400 IN A 193.170.130.157
kug130-160 86400 IN A 193.170.130.160
kug130-162 86400 IN A 193.170.130.162
w-pm15-212a 86400 IN A 193.170.130.212
kug130-164 86400 IN A 193.170.130.164
kug130-165 86400 IN A 193.170.130.165
kug130-170 86400 IN A 193.170.130.170
kug130-171 86400 IN A 193.170.130.171
w-pm15-213a 86400 IN A 193.170.130.101
kug130-174 86400 IN A 193.170.130.174
kug130-176 86400 IN A 193.170.130.176
w-br21-032b 86400 IN A 193.170.191.68
w-br21-032c 86400 IN A 193.170.191.69
kug130-179 86400 IN A 193.170.130.179
kug130-181 86400 IN A 193.170.130.181
kug130-182 86400 IN A 193.170.130.182
kug130-183 86400 IN A 193.170.130.183
kug130-184 86400 IN A 193.170.130.184
kug130-185 86400 IN A 193.170.130.185
kug130-187 86400 IN A 193.170.130.187
kug130-190 86400 IN A 193.170.130.190
kug130-202 86400 IN A 193.170.130.202
kug130-193 86400 IN A 193.170.130.193
kug130-204 86400 IN A 193.170.130.204
kug130-207 86400 IN A 193.170.130.207
kug130-198 86400 IN A 193.170.130.198
kug130-210 86400 IN A 193.170.130.210
kug130-213 86400 IN A 193.170.130.213
kug130-216 86400 IN A 193.170.130.216
kug130-217 86400 IN A 193.170.130.217
kug130-218 86400 IN A 193.170.130.218
desigo1 86400 IN A 193.170.191.211
w-br21-035e 86400 IN A 193.170.100.16
w-br21-035f 86400 IN A 193.170.100.17
w-br21-035g 86400 IN A 193.170.100.18
kug130-224 86400 IN A 193.170.130.224
kug130-225 86400 IN A 193.170.130.225
kug130-226 86400 IN A 193.170.130.226
kug130-227 86400 IN A 193.170.130.227
kug130-228 86400 IN A 193.170.130.228
kug130-229 86400 IN A 193.170.130.229
kug130-231 86400 IN A 193.170.130.231
kug130-232 86400 IN A 193.170.130.232
kug130-233 86400 IN A 193.170.130.233
w-br21-036h 86400 IN A 193.170.100.9
kug130-235 86400 IN A 193.170.130.235
uu131-008 86400 IN A 193.170.131.8
kug130-238 86400 IN A 193.170.130.238
kug130-239 86400 IN A 193.170.130.239
uu131-012 86400 IN A 193.170.131.12
kug130-242 86400 IN A 193.170.130.242
kug130-243 86400 IN A 193.170.130.243
kug130-244 86400 IN A 193.170.130.244
uu131-016 86400 IN A 193.170.131.16
uu131-017 86400 IN A 193.170.131.17
s-s1-esx3-ilo 86400 IN A 192.168.107.232
kug130-248 86400 IN A 193.170.130.248
kug130-098 86400 IN A 193.170.130.98
uu131-022 86400 IN A 193.170.131.22
uu131-023 86400 IN A 193.170.131.23
uu131-024 86400 IN A 193.170.131.24
uu131-025 86400 IN A 193.170.131.25
uu131-026 86400 IN A 193.170.131.26
uu131-027 86400 IN A 193.170.131.27
uu131-028 86400 IN A 193.170.131.28
tapmlioe2 86400 IN A 193.170.129.175
uu131-031 86400 IN A 193.170.131.31
uu131-032 86400 IN A 193.170.131.32
uu131-033 86400 IN A 193.170.131.33
uu131-034 86400 IN A 193.170.131.34
uu131-035 86400 IN A 193.170.131.35
gesang 86400 IN CNAME s-www1
uu131-037 86400 IN A 193.170.131.37
uu131-038 86400 IN A 193.170.131.38
uu131-039 86400 IN A 193.170.131.39
sw-mg41-155a 86400 IN A 193.170.190.24
uu131-042 86400 IN A 193.170.131.42
uu131-043 86400 IN A 193.170.131.43
uu131-044 86400 IN A 193.170.131.44
uu131-045 86400 IN A 193.170.131.45
ap04-mg 86400 IN A 192.168.248.149
uu131-047 86400 IN A 193.170.131.47
uu131-048 86400 IN A 193.170.131.48
uu131-049 86400 IN A 193.170.131.49
uu131-051 86400 IN A 193.170.131.51
uu131-052 86400 IN A 193.170.131.52
p-bg17-152a 86400 IN A 192.168.247.22
kug130-109 86400 IN A 193.170.130.109
uu131-055 86400 IN A 193.170.131.55
dobrowolski 86400 IN A 193.170.129.57
uu131-057 86400 IN A 193.170.131.57
uu131-058 86400 IN A 193.170.131.58
uu131-059 86400 IN A 193.170.131.59
uu131-061 86400 IN A 193.170.131.61
uu131-062 86400 IN A 193.170.131.62
uu131-068 86400 IN A 193.170.131.68
sw-ls82-223a 86400 IN A 193.170.190.122
ap04-pm 86400 IN A 192.168.248.34
t-pm15-foya 86400 IN A 193.170.100.47
uu131-098 86400 IN A 193.170.131.98
uu131-099 86400 IN A 193.170.131.99
ap04-rk 86400 IN A 192.168.248.54
webfile 86400 IN A 193.170.129.144
s-webmail1 86400 IN A 192.168.107.115
s-webmail2 86400 IN A 192.168.107.116
rm-bg21-k10a 86400 IN A 192.168.11.11
uu190-118 86400 IN A 193.170.190.118
u-ls82-223a 86400 IN A 192.168.11.75
r-vlan4 86400 IN A 193.170.100.1
p-ls82-foya 86400 IN A 193.170.128.65
p-ls82-foyb 86400 IN A 192.168.248.119
p-bg17-162a 86400 IN A 192.168.247.23
s-vma2 86400 IN A 192.168.107.139
kugbg202 86400 IN A 193.170.128.202
kugbg203 86400 IN A 193.170.128.203
kugbg204 86400 IN A 193.170.128.204
snmpaccept1 86400 IN CNAME s-hp1
kugbg206 86400 IN A 193.170.128.206
kugbg207 86400 IN A 193.170.128.207
kugbg208 86400 IN A 193.170.128.208
kugbg210 86400 IN A 193.170.128.210
kugbg214 86400 IN A 193.170.128.214
kugbg215 86400 IN A 193.170.128.215
kugbg216 86400 IN A 193.170.128.216
kugbg217 86400 IN A 193.170.128.217
kugbg218 86400 IN A 193.170.128.218
kugbg219 86400 IN A 193.170.128.219
pd-bg17-159g 86400 IN A 192.168.11.64
pd-bg17-159h 86400 IN A 192.168.11.65
pd-bg17-159i 86400 IN A 192.168.11.24
pd-bg17-159j 86400 IN A 192.168.11.25
pd-bg17-159k 86400 IN A 192.168.11.26
pd-bg17-159l 86400 IN A 192.168.11.27
pd-bg17-159m 86400 IN A 192.168.11.28
pd-bg17-159n 86400 IN A 192.168.11.29
p-br21-can2 86400 IN A 192.168.247.6
s-gw-po-o1 86400 IN A 193.170.53.21
w-br21-021a 86400 IN A 193.170.131.94
sw1-br21-e12 86400 IN A 193.170.190.58
uu131-231 86400 IN A 193.170.131.231
uu131-232 86400 IN A 193.170.131.232
uu131-233 86400 IN A 193.170.131.233
p-bg21-0f0a 86400 IN A 192.168.247.11
uu131-235 86400 IN A 193.170.131.235
uu131-236 86400 IN A 193.170.131.236
uu131-240 86400 IN A 193.170.131.240
uu131-241 86400 IN A 193.170.131.241
uu131-242 86400 IN A 193.170.131.242
sync-s 86400 IN CNAME s-gms2
sync-u 86400 IN CNAME s-gms1
uu131-248 86400 IN A 193.170.131.248
s-gw-po-s1 86400 IN A 193.170.53.20
s-rk-sauter 86400 IN A 193.170.191.222
s-gw-po-u1 86400 IN A 193.170.53.19
sw1-pm-sz-v44 86400 IN A 193.170.129.162
sw-hp08-123a 86400 IN A 193.170.190.62
p-mg39-009a 86400 IN A 193.170.131.111
s-gd-lg21 86400 IN A 192.168.152.21
w-ls82-104b 86400 IN A 193.170.129.71
w-ls82-024a 86400 IN A 193.170.128.107
p-ls15-015a 86400 IN A 192.168.247.51
p-ls15-015b 86400 IN A 192.168.247.52
uu190-149 86400 IN A 193.170.190.149
p-ls15-016a 86400 IN A 192.168.247.53
p-ls15-123a 86400 IN A 192.168.247.60
u-ls15-110ba 86400 IN A 192.168.11.46
uu190-156 86400 IN A 193.170.190.156
p-ls82-0f0a 86400 IN A 192.168.247.103
helpdesk 86400 IN CNAME s-ehd1
uu-rk-wlan-100-205 86400 IN A 193.170.100.205
comsys-tel 86400 IN A 193.170.128.176
w-ls82-foya 86400 IN A 193.170.128.126
w-ls82-foyb 86400 IN A 193.170.128.75
w-ls82-foyc 86400 IN A 193.170.129.83
alarmserver 86400 IN A 193.170.191.46
acs-m 86400 IN A 193.170.190.116
s-www-test1 86400 IN A 193.170.53.52
kug131-209 86400 IN A 193.170.131.209
kug190-178 86400 IN A 193.170.190.178
sw-bu03-21aa 86400 IN A 193.170.190.7
kug190-180 86400 IN A 193.170.190.180
ap01-br21 86400 IN A 192.168.248.130
w-mg39-001a 86400 IN A 193.170.131.110
bb-host-v6 86400 IN AAAA 2001:628:20d0:1::20
kug131-220 86400 IN A 193.170.131.220
s-uniflow1 86400 IN A 192.168.107.103
st-s2-spa 86400 IN A 192.168.107.226
kug190-181 86400 IN A 193.170.190.181
p-br21-134a 86400 IN A 193.170.130.250
s-kms1 86400 IN A 192.168.107.121
u-bg21-k10a 86400 IN A 192.168.11.60
study 86400 IN CNAME s-www1
